
======================================================= 
Ontology Annotation Diagnostics
======================================================= 

--------------------------------------- 
Data properties annotations diagnostics
--------------------------------------- 

--------------------------------------- 
Object properties annotations diagnostics
--------------------------------------- 

--------------------------------------- 
Classes annotations diagnostics
--------------------------------------- 
anomalous_left_coronary_from_pulmonary_artery : without label [fr, en]
gestational_sac_with_yolk_sac_within_endometrial_cavity : without label [fr, en]
gestational_sac_with_yolk_sac_within_endometrial_cavity : without definition [fr, en]
Staphylococcus_aureus : without label [fr, en]
Staphylococcus_aureus : without definition [fr, en]
annular_abdominal_calcification : without label [fr, en]
annular_abdominal_calcification : without definition [fr, en]
MPPH_syndrome : without label [fr, en]
MPPH_syndrome : without definition [fr, en]
idiopathic_pericarditis : without label [fr, en]
idiopathic_pericarditis : without definition [fr, en]
odontodysplasia : without label [fr, en]
odontodysplasia : without definition [fr, en]
Marfanoid_habitus_and_patent_fontanelles_in_adulthood : without label [fr, en]
Marfanoid_habitus_and_patent_fontanelles_in_adulthood : without definition [fr, en]
jugular_vein_ectasia : without label [fr, en]
jugular_vein_ectasia : without definition [fr, en]
subchoroidal_hemorrhage : without label [fr, en]
subchoroidal_hemorrhage : without definition [fr, en]
radio_ulnar_synostosis_intellectual_deficit_hypotonia : without label [fr, en]
radio_ulnar_synostosis_intellectual_deficit_hypotonia : without definition [fr, en]
vitreo_retinal_degeneration : without label [fr, en]
vitreo_retinal_degeneration : without definition [fr, en]
artifact_from_post_processing_technique_of_MRCP : without label [fr, en]
artifact_from_post_processing_technique_of_MRCP : without definition [fr, en]
insulin_resistance_short_fifth_metacarpal_syndrome : without label [fr, en]
insulin_resistance_short_fifth_metacarpal_syndrome : without definition [fr, en]
asymmetric_bowel_wall_thickening : without label [fr, en]
asymmetric_bowel_wall_thickening : without definition [fr, en]
carotid_artery_aneurysm : without label [fr, en]
carotid_artery_aneurysm : without definition [fr, en]
polyneuropathy_of_Roussy_Lévy : without label [fr, en]
polyneuropathy_of_Roussy_Lévy : without definition [fr, en]
tumor_lysis_syndrome : without label [fr, en]
tumor_lysis_syndrome : without definition [fr, en]
vascular_lesions_with_lymphoid_and_eosinophilic_infiltrates : without label [fr, en]
vascular_lesions_with_lymphoid_and_eosinophilic_infiltrates : without definition [fr, en]
pleural_metastasis : without label [fr, en]
pleural_metastasis : without definition [fr, en]
hyperprolinemia : without label [fr, en]
hyperprolinemia : without definition [fr, en]
lobar_torsion : without label [fr, en]
lobar_torsion : without definition [fr, en]
bee_keeper_arthropathy : without label [fr, en]
bee_keeper_arthropathy : without definition [fr, en]
excessive_calcium_excretion_via_breast : without label [fr, en]
excessive_calcium_excretion_via_breast : without definition [fr, en]
lymphoma_of_rectum : without label [fr, en]
lymphoma_of_rectum : without definition [fr, en]
sclerosteosis : without label [fr, en]
sclerosteosis : without definition [fr, en]
unilateral_small_hilar_shadow : without label [fr, en]
unilateral_small_hilar_shadow : without definition [fr, en]
amphetamine : without label [fr, en]
amphetamine : without definition [fr, en]
extrabronchial_obstruction : without label [fr, en]
extrabronchial_obstruction : without definition [fr, en]
gram_negative_septicemia : without label [fr, en]
gram_negative_septicemia : without definition [fr, en]
leukemic_infiltrate : without label [fr, en]
leukemic_infiltrate : without definition [fr, en]
maternal_smoking : without label [fr, en]
maternal_smoking : without definition [fr, en]
cystic_kidney : without label [fr, en]
cystic_kidney : without definition [fr, en]
female_siblings : without label [fr, en]
female_siblings : without definition [fr, en]
suture_granuloma : without label [fr, en]
suture_granuloma : without definition [fr, en]
clubfoot : without label [fr, en]
clubfoot : without definition [fr, en]
sexually_transmitted_disease : without label [fr, en]
sexually_transmitted_disease : without definition [fr, en]
oromandibular_dystonia : without label [fr, en]
oromandibular_dystonia : without definition [fr, en]
chromosome_translocation_syndrome : without label [fr, en]
chromosome_translocation_syndrome : without definition [fr, en]
aspartylglycosaminuria : without label [fr, en]
aspartylglycosaminuria : without definition [fr, en]
warfarin_therapy_in_childhood : without label [fr, en]
warfarin_therapy_in_childhood : without definition [fr, en]
Bencze_syndrome : without label [fr, en]
Bencze_syndrome : without definition [fr, en]
rheumatoid_monoarthritis : without label [fr, en]
rheumatoid_monoarthritis : without definition [fr, en]
solid_testicular_mass : without label [fr, en]
solid_testicular_mass : without definition [fr, en]
patella_baja : without label [fr, en]
patella_baja : without definition [fr, en]
tuberculosis_of_meninges : without label [fr, en]
tuberculosis_of_meninges : without definition [fr, en]
leptomeningeal_carcinomatosis : without label [fr, en]
leptomeningeal_carcinomatosis : without definition [fr, en]
carnitine_palmitoyltransferase_II_deficiency : without label [fr, en]
carnitine_palmitoyltransferase_II_deficiency : without definition [fr, en]
drug_toxicity : without label [fr, en]
drug_toxicity : without definition [fr, en]
Pellegrini_Stieda_disease : without label [fr, en]
Pellegrini_Stieda_disease : without definition [fr, en]
hydrogen_sulfide : without label [fr, en]
hydrogen_sulfide : without definition [fr, en]
loss_of_lamina_dura_of_teeth : without label [fr, en]
loss_of_lamina_dura_of_teeth : without definition [fr, en]
Plasma_cell_osteomyelitis : without label [fr, en]
Plasma_cell_osteomyelitis : without definition [fr, en]
cloacogenic_carcinoma : without label [fr, en]
cloacogenic_carcinoma : without definition [fr, en]
metatropic_dysplasia_lethal_type : without label [fr, en]
metatropic_dysplasia_lethal_type : without definition [fr, en]
noxious_gas_inhalation : without label [fr, en]
noxious_gas_inhalation : without definition [fr, en]
fibrous_cortical_defect : without label [fr, en]
fibrous_cortical_defect : without definition [fr, en]
papillary_ovarian_adenocarcinoma : without label [fr, en]
papillary_ovarian_adenocarcinoma : without definition [fr, en]
idiopathic_facial_nerve_palsy : without label [fr, en]
idiopathic_facial_nerve_palsy : without definition [fr, en]
chromosome_14_disorder : without label [fr, en]
chromosome_14_disorder : without definition [fr, en]
splenic_artery_pseudoaneurysm : without label [fr, en]
splenic_artery_pseudoaneurysm : without definition [fr, en]
low_grade_astrocytoma : without label [fr, en]
low_grade_astrocytoma : without definition [fr, en]
systemic_to_pulmonary_vascular_shunt : without label [fr, en]
systemic_to_pulmonary_vascular_shunt : without definition [fr, en]
backwash_ileitis : without label [fr, en]
backwash_ileitis : without definition [fr, en]
hemangiopericytoma : without label [fr, en]
hemangiopericytoma : without definition [fr, en]
Yoruba_ancestry : without label [fr, en]
Yoruba_ancestry : without definition [fr, en]
discordant_fibular_aplasia : without label [fr, en]
discordant_fibular_aplasia : without definition [fr, en]
epibulbar_nevus : without label [fr, en]
epibulbar_nevus : without definition [fr, en]
inflamed_duodenal_diverticulum : without label [fr, en]
inflamed_duodenal_diverticulum : without definition [fr, en]
hyperechoic_renal_parenchyma : without label [fr, en]
hyperechoic_renal_parenchyma : without definition [fr, en]
Adams_Oliver_syndrome : without label [fr, en]
Adams_Oliver_syndrome : without definition [fr, en]
parietal_foramina_multiple_exostosis : without label [fr, en]
parietal_foramina_multiple_exostosis : without definition [fr, en]
hemosiderin_deposition_in_the_spinal_cord : without label [fr, en]
hemosiderin_deposition_in_the_spinal_cord : without definition [fr, en]
hypercholesterolemia : without label [fr, en]
hypercholesterolemia : without definition [fr, en]
hypergonadotropic_hypogonadism_cataract_syndrome : without label [fr, en]
hypergonadotropic_hypogonadism_cataract_syndrome : without definition [fr, en]
erosion_of_the_sternomanubrial_synchondrosis : without label [fr, en]
erosion_of_the_sternomanubrial_synchondrosis : without definition [fr, en]
perihepatitis : without label [fr, en]
perihepatitis : without definition [fr, en]
early_onset_progressive_neurodegeneration : without label [fr, en]
early_onset_progressive_neurodegeneration : without definition [fr, en]
hypertelorism_microtia_clefting_syndrome : without label [fr, en]
hypertelorism_microtia_clefting_syndrome : without definition [fr, en]
inspissated_milk_syndrome : without label [fr, en]
inspissated_milk_syndrome : without definition [fr, en]
short_bowel_syndrome : without label [fr, en]
short_bowel_syndrome : without definition [fr, en]
hypertrophic_pachymeningitis : without label [fr, en]
hypertrophic_pachymeningitis : without definition [fr, en]
Weissenbacher_Zweymüller_syndrome : without label [fr, en]
Weissenbacher_Zweymüller_syndrome : without definition [fr, en]
endometrial_implant : without label [fr, en]
endometrial_implant : without definition [fr, en]
transitional_papilloma : without label [fr, en]
transitional_papilloma : without definition [fr, en]
dermal_sinus : without label [fr, en]
dermal_sinus : without definition [fr, en]
metaphyseal_chondrodysplasia_retinitis_pigmentosa : without label [fr, en]
metaphyseal_chondrodysplasia_retinitis_pigmentosa : without definition [fr, en]
pituitary_gland_hypertrophy : without label [fr, en]
pituitary_gland_hypertrophy : without definition [fr, en]
myelodysplasia : without label [fr, en]
myelodysplasia : without definition [fr, en]
overinflation_of_positive_pressure_ventilation : without label [fr, en]
overinflation_of_positive_pressure_ventilation : without definition [fr, en]
microcephaly_rhizomelia_cataracts_micropenis : without label [fr, en]
microcephaly_rhizomelia_cataracts_micropenis : without definition [fr, en]
ossification_anomaly : without label [fr, en]
ossification_anomaly : without definition [fr, en]
delayed_speech_facial_asymmetry_strabismus_ear_lobe_creases : without label [fr, en]
delayed_speech_facial_asymmetry_strabismus_ear_lobe_creases : without definition [fr, en]
odontogenic_fibroma : without label [fr, en]
odontogenic_fibroma : without definition [fr, en]
granulomatous_disease : without label [fr, en]
granulomatous_disease : without definition [fr, en]
mesomelic_dysplasia_Robinow_type : without label [fr, en]
mesomelic_dysplasia_Robinow_type : without definition [fr, en]
ventriculopleural_shunt : without label [fr, en]
ventriculopleural_shunt : without definition [fr, en]
normal_pulmonary_blood_vessel : without label [fr, en]
normal_pulmonary_blood_vessel : without definition [fr, en]
premature_aging : without label [fr, en]
premature_aging : without definition [fr, en]
disorder_of_sex_development_intellectual_deficit : without label [fr, en]
disorder_of_sex_development_intellectual_deficit : without definition [fr, en]
enlarged_joints : without label [fr, en]
enlarged_joints : without definition [fr, en]
intracerebral_hemorrhage : without label [fr, en]
intracerebral_hemorrhage : without definition [fr, en]
intraosseous_gouty_tophus_calcification : without label [fr, en]
intraosseous_gouty_tophus_calcification : without definition [fr, en]
septic_joint : without label [fr, en]
septic_joint : without definition [fr, en]
neurogenic_bladder : without label [fr, en]
neurogenic_bladder : without definition [fr, en]
Pseudoallescheria_boydii : without label [fr, en]
Pseudoallescheria_boydii : without definition [fr, en]
omphalocele : without label [fr, en]
omphalocele : without definition [fr, en]
Oliver_McFarlane_syndrome : without label [fr, en]
Oliver_McFarlane_syndrome : without definition [fr, en]
megalourethra : without label [fr, en]
megalourethra : without definition [fr, en]
HP_0004415 : without label [fr, en]
HP_0004415 : without definition [fr, en]
inflammation_of_orbital_apex : without label [fr, en]
inflammation_of_orbital_apex : without definition [fr, en]
familial_calvarial_hyperostosis : without label [fr, en]
familial_calvarial_hyperostosis : without definition [fr, en]
lymphangioma : without label [fr, en]
lymphangioma : without definition [fr, en]
central_necrosis_of_any_malignant_lesion : without label [fr, en]
central_necrosis_of_any_malignant_lesion : without definition [fr, en]
aplasia_of_the_inner_ear : without label [fr, en]
aplasia_of_the_inner_ear : without definition [fr, en]
pituitary_dwarfism : without label [fr, en]
pituitary_dwarfism : without definition [fr, en]
leukoencephaly : without label [fr, en]
leukoencephaly : without definition [fr, en]
cerebral_cyst : without label [fr, en]
cerebral_cyst : without definition [fr, en]
absence_of_subcutaneous_fat : without label [fr, en]
absence_of_subcutaneous_fat : without definition [fr, en]
bladder_sphincter_dyssynergia : without label [fr, en]
bladder_sphincter_dyssynergia : without definition [fr, en]
degenerative_arthritis : without label [fr, en]
degenerative_arthritis : without definition [fr, en]
echogenic_brain_lesion : without label [fr, en]
echogenic_brain_lesion : without definition [fr, en]
emotional_distress : without label [fr, en]
emotional_distress : without definition [fr, en]
testicular_atrophy : without label [fr, en]
testicular_atrophy : without definition [fr, en]
idiopathic_aspiration_pneumonia : without label [fr, en]
idiopathic_aspiration_pneumonia : without definition [fr, en]
healed_lacerations : without label [fr, en]
healed_lacerations : without definition [fr, en]
carpal_and_tarsal_osteolysis : without label [fr, en]
carpal_and_tarsal_osteolysis : without definition [fr, en]
congenital_fetal_anomaly : without label [fr, en]
congenital_fetal_anomaly : without definition [fr, en]
dysfunctional_prosthetic_mitral_valve : without label [fr, en]
dysfunctional_prosthetic_mitral_valve : without definition [fr, en]
mesenchymal_hamartomas_of_chest_wall : without label [fr, en]
mesenchymal_hamartomas_of_chest_wall : without definition [fr, en]
minocycline : without label [fr, en]
minocycline : without definition [fr, en]
HP_0005758 : without label [fr, en]
HP_0005758 : without definition [fr, en]
nevoid_telangiectasia_syndrome_of_pregnancy : without label [fr, en]
nevoid_telangiectasia_syndrome_of_pregnancy : without definition [fr, en]
ameloblastic_fibro_odontoma : without label [fr, en]
ameloblastic_fibro_odontoma : without definition [fr, en]
spondyloepiphyseal_dysplasia_tarda : without label [fr, en]
spondyloepiphyseal_dysplasia_tarda : without definition [fr, en]
HP_0004423 : without label [fr, en]
HP_0004423 : without definition [fr, en]
secondary_hyperoxaluria : without label [fr, en]
secondary_hyperoxaluria : without definition [fr, en]
HP_0030706 : without label [fr, en]
HP_0030706 : without definition [fr, en]
cystic_medial_necrosis_of_aorta : without label [fr, en]
cystic_medial_necrosis_of_aorta : without definition [fr, en]
mineral_oil_granulomas : without label [fr, en]
mineral_oil_granulomas : without definition [fr, en]
thickened_earlobes : without label [fr, en]
thickened_earlobes : without definition [fr, en]
enema_perforation_into_vessel : without label [fr, en]
enema_perforation_into_vessel : without definition [fr, en]
hemosiderin_deposition_in_the_leptomeninges : without label [fr, en]
hemosiderin_deposition_in_the_leptomeninges : without definition [fr, en]
testicular_torsion : without label [fr, en]
testicular_torsion : without definition [fr, en]
pseudotumor : without label [fr, en]
pseudotumor : without definition [fr, en]
ERCP : without label [fr, en]
ERCP : without definition [fr, en]
Schatzki_ring : without label [fr, en]
Schatzki_ring : without definition [fr, en]
vinyl_chloride_exposure : without label [fr, en]
vinyl_chloride_exposure : without definition [fr, en]
chronic_diarrhea : without label [fr, en]
chronic_diarrhea : without definition [fr, en]
invasive_keratitis : without label [fr, en]
invasive_keratitis : without definition [fr, en]
granulomatous_prostatitis : without label [fr, en]
granulomatous_prostatitis : without definition [fr, en]
chondromatosis : without label [fr, en]
chondromatosis : without definition [fr, en]
large_hands : without label [fr, en]
large_hands : without definition [fr, en]
thoracic_kidney : without label [fr, en]
thoracic_kidney : without definition [fr, en]
large_ventricular_septal_defect : without label [fr, en]
large_ventricular_septal_defect : without definition [fr, en]
calvarial_doughnut : without label [fr, en]
calvarial_doughnut : without definition [fr, en]
DOID_0050577 : without label [fr, en]
DOID_0050577 : without definition [fr, en]
early_sickle_cell_disease : without label [fr, en]
early_sickle_cell_disease : without definition [fr, en]
Nijmegen_breakage_syndrome : without label [fr, en]
Nijmegen_breakage_syndrome : without definition [fr, en]
sclerosing_osteomyelitis : without label [fr, en]
sclerosing_osteomyelitis : without definition [fr, en]
Roberts_syndrome : without label [fr, en]
Roberts_syndrome : without definition [fr, en]
CNS_abnormality : without label [fr, en]
CNS_abnormality : without definition [fr, en]
osteogenesis_imperfecta_perinatal_lethal_form : without label [fr, en]
osteogenesis_imperfecta_perinatal_lethal_form : without definition [fr, en]
placental_hemorrhage : without label [fr, en]
placental_hemorrhage : without definition [fr, en]
erosion_of_the_sternoclavicular_joint : without label [fr, en]
erosion_of_the_sternoclavicular_joint : without definition [fr, en]
theca_cell_tumor : without label [fr, en]
theca_cell_tumor : without definition [fr, en]
periosteal_fibroma : without label [fr, en]
periosteal_fibroma : without definition [fr, en]
chromosome_UPD_6_9DAS0 : without label [fr, en]
chromosome_UPD_6_9DAS0 : without definition [fr, en]
distended_gallbladder_in_a_child : without label [fr, en]
distended_gallbladder_in_a_child : without definition [fr, en]
acroscyphodysplasia : without label [fr, en]
acroscyphodysplasia : without definition [fr, en]
Frasier_syndrome : without label [fr, en]
Frasier_syndrome : without definition [fr, en]
compression_atelectasis : without label [fr, en]
compression_atelectasis : without definition [fr, en]
dacryocystitis_osteopoikilosis : without label [fr, en]
dacryocystitis_osteopoikilosis : without definition [fr, en]
resorption_of_distal_clavicle : without label [fr, en]
resorption_of_distal_clavicle : without definition [fr, en]
maternal_pelvic_mass : without label [fr, en]
maternal_pelvic_mass : without definition [fr, en]
Treacher_Collins_syndrome : without label [fr, en]
Treacher_Collins_syndrome : without definition [fr, en]
acheiria : without label [fr, en]
acheiria : without definition [fr, en]
rheumatic_or_rheumatoid_arteritis : without label [fr, en]
rheumatic_or_rheumatoid_arteritis : without definition [fr, en]
necrotizing_arteritis : without label [fr, en]
necrotizing_arteritis : without definition [fr, en]
DOID_0050568 : without label [fr, en]
DOID_0050568 : without definition [fr, en]
diffuse_marrow_replacement_by_tumor : without label [fr, en]
diffuse_marrow_replacement_by_tumor : without definition [fr, en]
gastroenterostomy : without label [fr, en]
gastroenterostomy : without definition [fr, en]
bronchiolitis_obliterans_with_organizing_pneumonia : without label [fr, en]
bronchiolitis_obliterans_with_organizing_pneumonia : without definition [fr, en]
duodenal_atresia_or_stenosis : without label [fr, en]
duodenal_atresia_or_stenosis : without definition [fr, en]
blood_dyscrasia : without label [fr, en]
blood_dyscrasia : without definition [fr, en]
esophageal_dilatation : without label [fr, en]
esophageal_dilatation : without definition [fr, en]
patent_ductus_arteriosus : without label [fr, en]
patent_ductus_arteriosus : without definition [fr, en]
allergy : without label [fr, en]
allergy : without definition [fr, en]
idiopathic_vertical_talus : without label [fr, en]
idiopathic_vertical_talus : without definition [fr, en]
increased_renal_phosphate_reabsorption : without label [fr, en]
increased_renal_phosphate_reabsorption : without definition [fr, en]
pancreatic_duct_dilatation : without label [fr, en]
pancreatic_duct_dilatation : without definition [fr, en]
crossed_renal_ectopia : without label [fr, en]
crossed_renal_ectopia : without definition [fr, en]
hip_nailing : without label [fr, en]
hip_nailing : without definition [fr, en]
post_treatment_thymic_rebound : without label [fr, en]
post_treatment_thymic_rebound : without definition [fr, en]
tropical_splenomegaly_syndrome : without label [fr, en]
tropical_splenomegaly_syndrome : without definition [fr, en]
antecubital_pterygium : without label [fr, en]
antecubital_pterygium : without definition [fr, en]
autosomal_chromosome_syndrome : without label [fr, en]
autosomal_chromosome_syndrome : without definition [fr, en]
transfusion_reaction : without label [fr, en]
transfusion_reaction : without definition [fr, en]
infected_bulla : without label [fr, en]
infected_bulla : without definition [fr, en]
optic_nerve_meningioma : without label [fr, en]
optic_nerve_meningioma : without definition [fr, en]
Rubinstein_Taybi_syndrome : without label [fr, en]
Rubinstein_Taybi_syndrome : without definition [fr, en]
fallopian_tube_carcinoma : without label [fr, en]
fallopian_tube_carcinoma : without definition [fr, en]
Sporothrix_schenckii : without label [fr, en]
Sporothrix_schenckii : without definition [fr, en]
extrinsic_pressure_from_normal_or_enlarged_liver : without label [fr, en]
extrinsic_pressure_from_normal_or_enlarged_liver : without definition [fr, en]
chronic_atrophic_pyelonephritis : without label [fr, en]
chronic_atrophic_pyelonephritis : without definition [fr, en]
familial_hidrotic_ectodermal_dysplasia : without label [fr, en]
familial_hidrotic_ectodermal_dysplasia : without definition [fr, en]
megalocystis : without label [fr, en]
megalocystis : without definition [fr, en]
lobar_or_segmental_liver_perfusion_abnormality : without label [fr, en]
lobar_or_segmental_liver_perfusion_abnormality : without definition [fr, en]
metatropic_dysplasia_variant : without label [fr, en]
metatropic_dysplasia_variant : without definition [fr, en]
adrenal_enlargement : without label [fr, en]
adrenal_enlargement : without definition [fr, en]
true_hermaphroditism : without label [fr, en]
true_hermaphroditism : without definition [fr, en]
HP_0005716 : without label [fr, en]
HP_0005716 : without definition [fr, en]
hydropneumometrocolpos : without label [fr, en]
hydropneumometrocolpos : without definition [fr, en]
moderately_enhancing_intracranial_lesion : without label [fr, en]
moderately_enhancing_intracranial_lesion : without definition [fr, en]
increased_prevertebral_space_in_infants_or_children : without label [fr, en]
increased_prevertebral_space_in_infants_or_children : without definition [fr, en]
hemolysis : without label [fr, en]
hemolysis : without definition [fr, en]
double_outlet_right_ventricle_with_pulmonary_stenosis : without label [fr, en]
double_outlet_right_ventricle_with_pulmonary_stenosis : without definition [fr, en]
chondrodysplasia_punctata_Conradi_Hünermann_type : without label [fr, en]
chondrodysplasia_punctata_Conradi_Hünermann_type : without definition [fr, en]
chronic_lead_poisoning : without label [fr, en]
chronic_lead_poisoning : without definition [fr, en]
rolandic_epilepsy_speech_dyspraxia : without label [fr, en]
rolandic_epilepsy_speech_dyspraxia : without definition [fr, en]
short_rib_polydactyly_syndrome_type_1 : without label [fr, en]
short_rib_polydactyly_syndrome_type_1 : without definition [fr, en]
Proteus_syndrome : without label [fr, en]
Proteus_syndrome : without definition [fr, en]
short_rib_polydactyly_syndrome_type_4 : without label [fr, en]
short_rib_polydactyly_syndrome_type_4 : without definition [fr, en]
short_rib_polydactyly_syndrome_type_2 : without label [fr, en]
short_rib_polydactyly_syndrome_type_2 : without definition [fr, en]
short_rib_polydactyly_syndrome_type_3 : without label [fr, en]
short_rib_polydactyly_syndrome_type_3 : without definition [fr, en]
hygroma : without label [fr, en]
hygroma : without definition [fr, en]
skeletal_anomaly : without label [fr, en]
skeletal_anomaly : without definition [fr, en]
histoplasmosis_in_liver : without label [fr, en]
histoplasmosis_in_liver : without definition [fr, en]
cerebral_edema : without label [fr, en]
cerebral_edema : without definition [fr, en]
varicella_pneumonia : without label [fr, en]
varicella_pneumonia : without definition [fr, en]
ventricle_hypoplasia : without label [fr, en]
ventricle_hypoplasia : without definition [fr, en]
developmental_stenosis : without label [fr, en]
developmental_stenosis : without definition [fr, en]
early_loss_of_permanent_teeth : without label [fr, en]
early_loss_of_permanent_teeth : without definition [fr, en]
recurrent_pyogenic_parotitis : without label [fr, en]
recurrent_pyogenic_parotitis : without definition [fr, en]
polypoid_rhinosinusitis : without label [fr, en]
polypoid_rhinosinusitis : without definition [fr, en]
overgrowth_macrocephaly_facial_dysmorphism : without label [fr, en]
overgrowth_macrocephaly_facial_dysmorphism : without definition [fr, en]
dystonic_clenched_fist : without label [fr, en]
dystonic_clenched_fist : without definition [fr, en]
acne : without label [fr, en]
acne : without definition [fr, en]
cardiac_tumor : without label [fr, en]
cardiac_tumor : without definition [fr, en]
acute_bacillary_dysentery : without label [fr, en]
acute_bacillary_dysentery : without definition [fr, en]
aortic_valve_disease : without label [fr, en]
aortic_valve_disease : without definition [fr, en]
pyloroduodenal_obstruction : without label [fr, en]
pyloroduodenal_obstruction : without definition [fr, en]
DOID_0050648 : without label [fr, en]
DOID_0050648 : without definition [fr, en]
mucus_plugs : without label [fr, en]
mucus_plugs : without definition [fr, en]
arthrogryposis_multiplex_congenita : without label [fr, en]
arthrogryposis_multiplex_congenita : without definition [fr, en]
brachiocephalic_artery_aneurysm : without label [fr, en]
